,Place Overall,Place Gender,Name (CTZ),BIB,Division,HALF,Finish
349,350,324,"Cortinas Vidal, Jesus Armando (MEX)",4013,30-34,01:19:01,02:36:08
350,351,325,"McAvoy, Mark (IRL)",2134,30-34,01:15:26,02:36:11
351,352,326,"Kyvelos, Daniel (USA)",18064,25-29,01:20:44,02:36:15
352,353,27,"Butler, Jo (USA)",449,30-34,01:17:42,02:36:19
353,354,327,"Deal, Brian (USA)",495,35-39,01:17:43,02:36:19
354,355,328,"Bumbalough, Andrew (USA)",440,35-39,01:17:42,02:36:19
355,356,329,"Kennelly, Mike (USA)",7150,35-39,01:16:52,02:36:22
356,357,330,"Aarnes, Hans Chr. (NOR)",4142,35-39,01:17:19,02:36:23
357,358,331,"Brown, Raymond (USA)",6115,35-39,01:18:13,02:36:23
358,359,332,"Motter, Marc (USA)",13205,20-24,01:18:14,02:36:24
359,360,333,"Relyea, Joseph (USA)",22089,50-54,01:18:43,02:36:26
360,361,334,"Eles, Stephen (USA)",25544,40-44,01:18:18,02:36:27
361,362,335,"Krautwig, Max (GER)",3096,35-39,01:18:17,02:36:29
362,363,336,"Wezowczyk, Dariusz (USA)",8023,40-44,01:17:51,02:36:31
363,364,337,"Stary, Manuel (GER)",3094,30-34,01:16:02,02:36:34
364,365,338,"Jeror, Nicholas (USA)",18113,30-34,01:17:40,02:36:35
365,366,339,"Springstroh, Lucas (USA)",8142,35-39,01:18:07,02:36:37
366,367,340,"Johnson, Ben (USA)",7045,35-39,01:18:06,02:36:38
367,368,341,"Wohl, Erich (USA)",10140,25-29,01:18:08,02:36:40
368,369,342,"Hogan, Kevin (USA)",9143,25-29,01:18:12,02:36:40
369,370,343,"Boudreau-Plouffe, Vincent (CAN)",2082,30-34,01:19:33,02:36:44
370,371,344,"Gonzalez illada, Jose wilmer (ESP)",9206,35-39,01:19:05,02:36:44
371,372,345,"Sillivant, Daniel (USA)",9044,35-39,01:17:23,02:36:45
372,373,346,"Townley, Aaron (USA)",6067,25-29,01:14:47,02:36:45
373,374,347,"Dittborn, Antonio (CHI)",25128,40-44,01:17:16,02:36:46
374,375,348,"Thomas, Zac (AUS)",1145,30-34,01:18:20,02:36:47
375,376,349,"Ledford, Ted (USA)",21056,30-34,01:18:08,02:36:48
376,377,350,"Lehamel, Kevin (FRA)",3058,30-34,01:17:55,02:36:48
377,378,351,"Gravelle, Will (USA)",550,25-29,01:13:20,02:36:49
378,379,352,"Torres, Michael (USA)",20166,40-44,01:17:33,02:36:53
379,380,353,"Dauer, Quinn (USA)",489,40-44,01:17:42,02:37:00
380,381,354,"Lievense, Ethan (USA)",632,30-34,01:21:15,02:37:00
381,382,355,"Glaubke, Eric (USA)",9041,30-34,01:18:29,02:37:00
382,383,356,"Van De Putte, Floris (BEL)",25041,40-44,01:18:33,02:37:02
383,384,357,"Shanabruch, Thomas (USA)",25576,45-49,01:17:48,02:37:03
384,385,358,"Kirkpatrick, Nicholas (USA)",610,25-29,01:12:26,02:37:06
385,386,359,"Zona, Vince (USA)",19005,20-24,01:16:29,02:37:09
386,387,360,"Kuleshov, Aleksandr (EST)",25147,40-44,01:15:17,02:37:14
387,388,361,"Finegan, Oran (IRL)",25434,45-49,01:16:39,02:37:15
388,389,362,"Prospect, Daniel (USA)",19121,30-34,01:18:11,02:37:15
389,390,363,"Coleman, Jonathan (USA)",20043,25-29,01:18:17,02:37:18
390,391,364,"Kerr, Alex (USA)",18192,30-34,01:17:05,02:37:18
391,392,365,"Falana, Sebastian (POL)",4176,35-39,01:17:26,02:37:19
392,393,366,"Sangros Arnal, Eduardo (ESP)",5045,45-49,01:18:28,02:37:19
393,394,367,"Ono, Hiroyuki (USA)",18067,35-39,01:17:47,02:37:20
394,395,368,"Calvillo Trujillano, Enrique (ESP)",1053,45-49,01:18:28,02:37:20
395,396,369,"Debeljak, Pavel (SLO)",25406,40-44,01:17:06,02:37:20
396,397,370,"Lumbar, Matthew (USA)",7163,25-29,01:11:55,02:37:21
397,398,371,"James, Tommy (USA)",1068,40-44,01:18:44,02:37:21
398,399,372,"Batista de Oliveira, Carlos Eduardo (BRA)",25539,40-44,01:16:42,02:37:22
399,400,373,"Button, Nathan (USA)",7082,40-44,01:18:53,02:37:25
400,401,374,"Suhadolnik, Nick (USA)",8120,30-34,01:15:46,02:37:26
401,402,375,"Asfaw, Tensai (ETH)",5068,40-44,01:18:53,02:37:26
402,403,376,"Bruno, Vincent (USA)",1010,20-24,01:16:57,02:37:27
403,404,377,"Schlindwein, Jacob (USA)",18010,30-34,01:16:03,02:37:29
404,405,378,"Beltran, Sebastian (MEX)",4028,25-29,01:17:07,02:37:29
405,406,379,"Kahlefeldt, Justin (AUS)",10106,35-39,01:18:53,02:37:29
406,407,28,"Horner, Kimberly (USA)",585,35-39,01:17:04,02:37:31
407,408,380,"Theau, Yann (FRA)",25155,50-54,01:17:26,02:37:33
408,409,381,"Barrington, Jeffrey (USA)",18074,40-44,01:17:56,02:37:36
409,410,382,"Russell, Ryan (CAN)",742,35-39,01:12:08,02:37:37
410,411,383,"Winkler, Manfred (AUT)",1169,40-44,01:18:38,02:37:40
411,412,384,"Latonis, Jacob (USA)",20017,20-24,01:17:49,02:37:40
412,413,385,"Oppenheimer, Kyle (USA)",7027,30-34,01:18:36,02:37:43
413,414,386,"Barpoulis, Nick (USA)",18065,25-29,01:19:13,02:37:44
414,415,387,"Dimas, Mario (MEX)",25529,40-44,01:18:19,02:37:44
415,416,388,"McGeary, Scott (USA)",19200,35-39,01:16:39,02:37:44
416,417,389,"Campbell, Matthew (USA)",8053,35-39,01:16:14,02:37:51
417,418,390,"Campiz, Gustavo (MEX)",25750,45-49,01:18:07,02:37:52
418,419,391,"Cooper, Matthew (USA)",7118,25-29,01:17:16,02:37:55
419,420,392,"Quigley, Gavin (IRL)",5196,30-34,01:18:18,02:37:55
420,421,393,"Moriarty, Adam (GBR)",5185,35-39,01:19:55,02:37:56
421,422,394,"Kane, Sean (USA)",8015,25-29,01:19:27,02:37:59
422,423,395,"Sadat, Tom (KEN)",21087,40-44,01:12:13,02:38:00
423,424,396,"Wong, Patrick (HKG)",3120,35-39,01:19:48,02:38:02
424,425,397,"Asaro, Alessio (USA)",10002,30-34,01:18:11,02:38:02
425,426,1,"Caswell, Jake (USA)",459,25-29,01:17:45,02:38:05
426,427,398,"DiBianca, Anthony (USA)",9083,35-39,01:18:19,02:38:07
427,428,399,"Sambridge, Kevin (GBR)",6053,50-54,01:17:50,02:38:09
428,429,400,"Cruz-orduna, Jorge (USA)",6117,25-29,01:18:13,02:38:10
429,430,401,"Sturluson, Jon Kristofer (ISL)",3130,30-34,01:18:28,02:38:12
430,431,402,"Rozzino, Nicolo (ITA)",3098,30-34,01:19:13,02:38:14
431,432,403,"Morente Romero, Pablo (ESP)",5043,30-34,01:18:54,02:38:16
432,433,404,"Sugathadasa, Gamini(manelgedon) (SRI)",22041,50-54,01:18:50,02:38:16
433,434,405,"Bay, Tyler (USA)",19149,30-34,01:19:50,02:38:18
434,435,406,"Stimler, Joseph (USA)",9180,25-29,01:19:26,02:38:19
435,436,407,"Judge, Jeremy (USA)",10173,35-39,01:15:44,02:38:20
436,437,408,"Byrne, Stuart (GBR)",5164,35-39,01:18:28,02:38:20
437,438,409,"Andersen, Michael (USA)",6196,35-39,01:18:47,02:38:22
438,439,410,"Carbonell, Joan (ESP)",25419,50-54,01:18:07,02:38:22
439,440,411,"Bland, Samuel (USA)",10046,25-29,01:18:28,02:38:23
440,441,412,"Mishra, Arjun (USA)",19081,30-34,01:19:47,02:38:24
441,442,29,"Mantilla, Leila (USA)",648,25-29,01:19:22,02:38:25
442,443,413,"Moore, Brendan (CAN)",3437,20-24,01:19:11,02:38:26
443,444,414,"Rosinski, Patryk (POL)",4181,25-29,–,02:38:26
444,445,415,"Dube, Thomas (USA)",18100,30-34,01:18:40,02:38:26
445,446,416,"Persen, Sindre (NOR)",4152,35-39,01:18:33,02:38:27
446,447,417,"Scullion, Adrian (IRL)",754,40-44,01:20:37,02:38:27
447,448,418,"Ewing, Wes (USA)",8013,30-34,01:19:05,02:38:29
448,449,419,"Crowe, John (USA)",18022,25-29,01:16:26,02:38:29
449,450,420,"Briggs, Daniel (USA)",18092,25-29,01:18:39,02:38:29
450,451,421,"Marcato, Giacomo (ITA)",3160,35-39,01:17:43,02:38:31
451,452,422,"Nishimura, Yoshihiro (JPN)",25248,40-44,01:19:45,02:38:33
452,453,423,"Saillard, Remi (FRA)",3053,25-29,01:14:31,02:38:35
453,454,424,"Keane, Robert (IRL)",25205,40-44,01:16:55,02:38:36
454,455,425,"Bauer, Jeremy (USA)",22142,45-49,01:18:39,02:38:36
455,456,426,"Holland, Darren (USA)",584,45-49,01:18:25,02:38:36
456,457,427,"Ahsberg, Magnus (SWE)",25430,55-59,01:19:05,02:38:36
457,458,428,"Charyk, Jonas (CAN)",462,40-44,01:17:17,02:38:37
458,459,429,"Rosse, Sebastien (FRA)",25158,50-54,01:17:51,02:38:37
459,460,430,"Mouffok, Samir (FRA)",3037,30-34,01:18:53,02:38:38
460,461,431,"Andrade, Ricardo (FRA)",3071,35-39,01:18:53,02:38:38
461,462,432,"Bruneau, Damien (GBR)",25019,45-49,01:17:02,02:38:39
462,463,433,"Rotskoff, Grant (USA)",10033,30-34,01:19:41,02:38:39
463,464,434,"Gildersleeve, Kenneth (USA)",6119,30-34,01:15:44,02:38:39
464,465,435,"Doan, Nicolas (FRA)",3063,35-39,01:18:28,02:38:42
465,466,436,"Schmit, Zach (USA)",9177,35-39,01:19:06,02:38:42
466,467,437,"Pace, Tyler (USA)",7066,25-29,01:17:33,02:38:42
467,468,438,"Zancaner, Orlando (BRA)",1019,40-44,01:18:20,02:38:42
468,469,439,"Fung, Nicholas (USA)",10094,30-34,01:16:57,02:38:43
469,470,440,"Morton, Michael (USA)",22189,30-34,01:17:08,02:38:43
470,471,441,"Wyeth, Adam (USA)",8007,30-34,01:17:29,02:38:45
471,472,442,"Sneller, Ian (USA)",20195,20-24,01:20:01,02:38:45
472,473,443,"Clarke, Tom (USA)",25525,50-54,01:18:16,02:38:47
473,474,444,"McCauley, Sean (USA)",7061,30-34,01:19:25,02:38:48
474,475,30,"Tuxbury, Annmarie (USA)",124,25-29,01:16:44,02:38:49
475,476,445,"Turner, John (USA)",8129,20-24,01:18:50,02:38:50
476,477,446,"Fiva, Jon (NOR)",25366,45-49,01:19:54,02:38:50
477,478,447,"DeFelice, David (USA)",6170,30-34,01:20:45,02:38:51
478,479,448,"Njoroge, Zach (USA)",18070,35-39,01:18:30,02:38:54
479,480,449,"Zhong, Zhaolong (CHN)",18166,35-39,01:16:40,02:38:55
480,481,450,"Kovac, Jonathan (USA)",19080,30-34,01:18:59,02:38:58
481,482,451,"Pyhala, Benjamin (USA)",18102,20-24,01:19:13,02:38:59
482,483,452,"Gutierrez Lacayo, Alejandro (CRC)",21015,30-34,01:20:15,02:38:59
483,484,453,"Htay, Sai (MYA)",8010,35-39,01:18:38,02:39:01
484,485,454,"Lennington, Daniel (CAN)",22177,45-49,01:19:31,02:39:01
485,486,455,"Olias Perez, Aldo (ESP)",25421,40-44,01:18:32,02:39:02
486,487,456,"Hernandez, Emiliano (MEX)",21023,20-24,01:19:38,02:39:02
487,488,457,"De Knijff, Dennis (NED)",4121,35-39,01:22:24,02:39:03
488,489,31,"Mathieu, Jeannette (USA)",657,30-34,01:18:26,02:39:03
489,490,458,"Lavedrine, Mathieu (FRA)",25491,40-44,01:16:20,02:39:05
490,491,459,"Soares, Nuno (POR)",25394,40-44,01:19:36,02:39:05
491,492,460,"Preston, Scott (USA)",22065,40-44,01:19:22,02:39:07
492,493,461,"Villegas, Juan (CRC)",21016,30-34,01:20:05,02:39:08
493,494,462,"Calderón, Boris (MEX)",7360,35-39,01:20:26,02:39:10
494,495,463,"He, Yong (SGP)",25402,40-44,01:18:11,02:39:10
495,496,464,"Leung, Chi Ho (GBR)",6041,35-39,01:18:40,02:39:11
496,497,2,"Grant, Jonah (USA)",9164,25-29,01:19:54,02:39:12
497,498,465,"Marshall, Richard (CAN)",2156,35-39,01:18:35,02:39:12
498,499,466,"Tipping, Luke (GBR)",6038,30-34,01:18:42,02:39:13
499,500,467,"Webber, Robert (USA)",6066,30-34,01:18:44,02:39:14
500,501,468,"Finnigan, Sean (USA)",524,40-44,01:18:23,02:39:18
501,502,469,"Harris, Benjamin (USA)",6171,30-34,01:18:30,02:39:19
502,503,32,"VanDehy, Kathy (USA)",792,25-29,01:17:16,02:39:19
503,504,470,"Agustsson, Daniel (ISL)",3129,25-29,01:19:02,02:39:19
504,505,471,"Mackie, James (GBR)",25002,45-49,01:18:11,02:39:20
505,506,472,"Baddour, Allen (USA)",25566,50-54,01:20:14,02:39:21
506,507,473,"Phillis, Corey (USA)",22128,40-44,01:21:12,02:39:23
507,508,33,"Oda, Chelsea (USA)",697,30-34,01:19:49,02:39:25
508,509,474,"Hataway, William (USA)",10187,20-24,01:17:24,02:39:27
509,510,475,"Burnett, Dan (USA)",444,40-44,01:17:28,02:39:29
510,511,476,"Floberg, Eric (USA)",20190,30-34,01:18:29,02:39:29
511,512,477,"De Groote, Tim (BEL)",1180,30-34,01:18:12,02:39:29
512,513,478,"Mayer, Jeffrey (USA)",13197,35-39,–,02:39:31
513,514,479,"Hopkins, Chris (GBR)",5092,30-34,01:14:42,02:39:31
514,515,480,"Auman, Steve (USA)",21193,25-29,01:21:31,02:39:33
515,516,481,"Scarzello, Matthew (USA)",6179,25-29,01:19:58,02:39:34
516,517,482,"Luckman, Andrew (USA)",7162,30-34,01:18:36,02:39:34
517,518,483,"Mora, Marcos (USA)",18133,30-34,01:18:55,02:39:35
518,519,484,"Wilks, Justin (USA)",10139,25-29,01:18:22,02:39:35
519,520,485,"De Simone, Flavio (USA)",25543,50-54,01:17:46,02:39:38
520,521,486,"Kasselmann, Mathias (GER)",3102,30-34,01:16:22,02:39:39
521,522,487,"Piersol, John (USA)",18097,35-39,01:21:35,02:39:42
522,523,488,"McGrath, Tom (CAN)",666,35-39,01:18:31,02:39:44
523,524,489,"Cabral, Rafael (BRA)",1192,30-34,01:19:32,02:39:44
524,525,490,"Mosel, Leigh (AUS)",21039,45-49,01:20:01,02:39:45
525,526,491,"Fields, Timothy (USA)",9073,30-34,01:18:30,02:39:45
526,527,492,"Floman, Omri (ISR)",7015,35-39,01:20:21,02:39:46
527,528,493,"Williams, John (USA)",808,30-34,01:19:14,02:39:46
528,529,494,"Fergus, Todd (USA)",522,45-49,01:19:49,02:39:47
529,530,34,"Barry, Aileen (USA)",415,40-44,01:19:14,02:39:48
530,531,495,"Stone, Adam (GBR)",6013,35-39,01:18:56,02:39:49
531,532,35,"Kurtenbach, Khia (USA)",620,25-29,01:19:41,02:39:50
532,533,496,"Golubykh, Alexey (RUS)",5002,40-44,01:19:22,02:39:52
533,534,497,"Katsaras, Alexander (CAN)",2061,25-29,01:18:18,02:39:58
534,535,498,"Graves, Daniel (USA)",8163,30-34,01:20:25,02:40:00
535,536,499,"Chan, Nicholas (USA)",9059,20-24,01:19:11,02:40:01
536,537,500,"Emond, Sylvain (CAN)",2099,45-49,01:18:32,02:40:02
537,538,501,"Fernandes, Samuel (BEL)",1175,35-39,01:19:56,02:40:04
538,539,502,"Bramwell, Kerome (USA)",9105,30-34,01:19:48,02:40:06
539,540,503,"Covarrubias, Jose (MEX)",4037,25-29,01:20:06,02:40:07
540,541,504,"Zhang, Yu (CHN)",19054,35-39,01:20:46,02:40:08
541,542,505,"Pereira, Henrique (BRA)",8296,35-39,01:20:02,02:40:12
542,543,506,"Swain, Dan (USA)",6180,30-34,01:20:47,02:40:13
543,544,507,"Struwe, Liam (GBR)",5144,30-34,01:18:54,02:40:13
544,545,508,"Gamboa, Ignacio (USA)",9121,20-24,01:17:30,02:40:14
545,546,509,"Tabbal, Nabil (LBN)",5063,40-44,01:18:53,02:40:16
546,547,510,"Davis, Christopher (USA)",6159,35-39,01:18:45,02:40:22
547,548,511,"Geraghty, Stephen (GBR)",6036,40-44,01:19:42,02:40:26
548,549,512,"Caron, Chris (USA)",6154,30-34,01:21:04,02:40:27
549,550,513,"Dela Cruz, Jay (USA)",22018,40-44,01:19:47,02:40:28
550,551,514,"Delgado, Paulo (CHI)",25117,45-49,01:19:00,02:40:28
551,552,515,"Polanski, Tomasz (POL)",25374,45-49,01:20:53,02:40:28
552,553,516,"Kindred, Steve (USA)",22028,45-49,01:19:57,02:40:29
553,554,517,"Pallini, Marco (ITA)",6341,40-44,01:21:26,02:40:31
554,555,518,"Brandt, Michael (USA)",20087,30-34,01:19:00,02:40:32
555,556,519,"Bowling, Kyle (USA)",9151,35-39,01:18:36,02:40:34
556,557,520,"Fifield, Trent (USA)",870,50-54,01:21:15,02:40:35
557,558,521,"Larkin, Michael (USA)",626,25-29,01:15:15,02:40:36
558,559,522,"Coyle, Quinn (USA)",18146,25-29,01:19:52,02:40:37
559,560,523,"Samdal, Tord Henrik Ohlsson (NOR)",4147,35-39,01:19:41,02:40:39
560,561,524,"Atienza, Daniel (SUI)",25438,45-49,01:19:33,02:40:41
561,562,525,"Quintero, Alejandro (COL)",2199,35-39,01:17:34,02:40:42
562,563,526,"Pearson, Aaron (USA)",9186,30-34,01:20:07,02:40:42
563,564,527,"Krapauskas, Edgaras (LTU)",25304,50-54,01:18:14,02:40:43
564,565,528,"Kupper, Daniel (USA)",19131,35-39,01:19:39,02:40:44
565,566,529,"Kostyk, Piotr (USA)",10160,30-34,01:20:54,02:40:44
566,567,530,"LaMarre, Robert (USA)",7090,30-34,01:18:47,02:40:45
567,568,36,"Dracht, Danae (USA)",510,30-34,01:18:29,02:40:45
568,569,531,"Cullen, Darren (USA)",3147,35-39,01:19:43,02:40:46
569,570,532,"Laino, Nicolas (ARG)",25013,40-44,01:18:47,02:40:47
570,571,533,"Volkl, Kevin (USA)",8003,25-29,01:21:29,02:40:47
571,572,534,"Koballa, Michael (USA)",19051,35-39,01:18:20,02:40:47
572,573,535,"Porcelli, Addison (USA)",18187,35-39,01:20:55,02:40:48
573,574,536,"Whipple, Brett (USA)",18080,35-39,01:21:01,02:40:49
574,575,37,"Dailey, Kristin (USA)",485,40-44,01:21:15,02:40:50
575,576,3,"Crail, Nate (USA)",480,25-29,01:21:11,02:40:52
576,577,537,"Renken, Hauke (GER)",3075,25-29,01:19:40,02:40:53
577,578,538,"Mekaelian, Matthew (USA)",21163,25-29,01:20:31,02:40:53
578,579,539,"Drake, Matthew (USA)",8143,35-39,01:19:07,02:40:53
579,580,540,"Fjellestad, Stian (NOR)",4143,40-44,01:20:07,02:40:55
580,581,541,"Jensen, Rune (DEN)",3019,45-49,01:19:41,02:40:56
581,582,38,"Forde, Erin (USA)",529,30-34,01:17:43,02:40:57
582,583,542,"Yorke, Brian (CAN)",25068,45-49,01:21:23,02:40:57
583,584,543,"Walkowski, Cezary (POL)",25381,45-49,01:20:08,02:40:58
584,585,544,"Kropka, Casey (USA)",10056,25-29,01:20:56,02:41:00
585,586,545,"Najera, Ran (CRC)",25133,40-44,01:19:39,02:41:01
586,587,546,"Eskuri, Adam (USA)",8097,30-34,01:21:23,02:41:02
587,588,547,"Oliveira, Aurelio (BRA)",1190,45-49,01:21:28,02:41:02
588,589,548,"Duno, Jeand (VEN)",10001,35-39,01:20:44,02:41:02
589,590,549,"Gagliardini, Mauro (ITA)",25240,55-59,01:19:04,02:41:03
590,591,550,"Kenimer, Brad (USA)",6173,30-34,01:19:00,02:41:04
591,592,551,"Lau, Nathaniel Gohoc (HKG)",3123,30-34,01:19:15,02:41:05
592,593,39,"Odenheimer, Jen (USA)",698,30-34,01:18:26,02:41:07
593,594,552,"Lee, Zachary (USA)",6062,30-34,01:20:58,02:41:10
594,595,553,"Duchon, Richard (USA)",1078,40-44,01:18:45,02:41:10
595,596,40,"Paauwe, Melissa (CAN)",840,35-39,01:18:32,02:41:12
596,597,554,"Cepkauskas, Lukas (USA)",6136,25-29,01:19:48,02:41:12
597,598,555,"Muhlenberg, Ryan (USA)",8083,20-24,01:19:37,02:41:12
598,599,556,"Castillo-Moreira, David (USA)",9140,20-24,01:17:23,02:41:13
599,600,557,"Knauss, Christian (USA)",9025,30-34,01:20:57,02:41:14
600,601,558,"Gagnon, Shane (USA)",10045,25-29,01:19:49,02:41:14
601,602,559,"Dennehy, John (USA)",9006,25-29,01:17:39,02:41:15
602,603,560,"Terekhov, Mike (USA)",19152,20-24,01:20:33,02:41:17
603,604,561,"Regimowicz, Tomasz (POL)",25384,45-49,01:20:20,02:41:18
604,605,41,"Premont, Bianca (CAN)",2080,40-44,01:20:06,02:41:19
605,606,562,"Lambarry, Agustin (MEX)",5124,35-39,01:19:55,02:41:21
606,607,563,"Maloney, Justin (USA)",22145,40-44,01:18:33,02:41:21
607,608,42,"Olson, Alexis (USA)",700,25-29,01:19:25,02:41:22
608,609,564,"Yoshida, Shohei (JPN)",25290,40-44,01:19:16,02:41:23
609,610,565,"Galeza, Slawomir (POL)",25377,40-44,01:20:48,02:41:23
610,611,43,"Chang, Amanda (USA)",460,25-29,01:20:48,02:41:24
611,612,566,"Keeler, Benjamin (USA)",22072,45-49,01:20:55,02:41:25
612,613,44,"Johnson, Ana (USA)",831,40-44,01:19:45,02:41:25
613,614,567,"Dinh, Linh (VIE)",7093,40-44,01:20:20,02:41:25
614,615,568,"McFarren, Joe (USA)",21038,40-44,01:20:18,02:41:25
615,616,569,"Trendell, Michael (USA)",11264,35-39,01:22:01,02:41:26
616,617,570,"Woltjer, Joey (USA)",7098,35-39,01:20:23,02:41:28
617,618,571,"Daly, Sam (USA)",10087,25-29,01:20:48,02:41:28
618,619,572,"Tomlin, Perry (GBR)",6055,30-34,01:21:23,02:41:29
619,620,573,"Willert, Luke (USA)",1107,30-34,01:21:24,02:41:30
620,621,574,"Servin, Alejandro (MEX)",4076,40-44,01:20:44,02:41:32
621,622,575,"Stjaernstroem, Dan (SWE)",6153,30-34,01:21:10,02:41:33
622,623,576,"Dinh, Nguyen (VIE)",20072,45-49,01:20:30,02:41:33
623,624,577,"Halperin, Daniel (ISR)",25230,45-49,01:20:27,02:41:33
624,625,578,"Lawrence, Dave (GBR)",6010,40-44,01:20:16,02:41:34
625,626,579,"Vallee, Gregoire (CAN)",25094,40-44,01:19:47,02:41:35
626,627,580,"Misjan, Ryan (USA)",18058,35-39,01:19:30,02:41:35
627,628,581,"Adams, David (GBR)",20003,35-39,01:19:45,02:41:37
628,629,582,"Shan, Eric (USA)",7190,25-29,01:18:35,02:41:37
629,630,583,"Medina, Francisco (COL)",2197,35-39,01:20:11,02:41:37
630,631,584,"Snow, John (USA)",7102,30-34,01:22:06,02:41:38
631,632,585,"Hernandez Diaz, Gabriel Guadalupe (MEX)",4099,45-49,01:19:27,02:41:38
632,633,586,"Grieshaber, David (USA)",9152,30-34,01:19:35,02:41:39
633,634,587,"Sakuma, Yasuo (JPN)",25256,55-59,01:19:14,02:41:39
634,635,588,"Golden, Thomas (USA)",18190,30-34,01:21:46,02:41:41
635,636,589,"Fustagueras, Xavier (ESP)",5047,35-39,01:18:47,02:41:41
636,637,45,"Fujisawa, Mai (JPN)",25266,45-49,01:20:20,02:41:43
637,638,590,"Nait Saidi, Karim (FRA)",3042,30-34,01:21:27,02:41:44
638,639,591,"Deathe, Richard (GBR)",6007,35-39,01:20:57,02:41:44
639,640,592,"Carranza, Isai (USA)",9124,25-29,01:21:47,02:41:49
640,641,593,"Newns, Ian (GBR)",690,40-44,01:18:25,02:41:52
641,642,594,"Mansell, Robert (GBR)",25455,45-49,01:17:23,02:41:53
642,643,595,"Janka, Toni (FIN)",25149,40-44,01:18:51,02:41:53
643,644,596,"Kaufmann, Michael (SUI)",25432,55-59,01:20:17,02:41:54
644,645,597,"Clough, Joshua (USA)",10191,35-39,01:17:19,02:41:54
645,646,598,"Jensen, Peter (DEN)",25371,45-49,01:19:34,02:41:54
646,647,599,"Lopez Diaz, Jaime (MEX)",25339,40-44,01:18:52,02:41:55
647,648,600,"Matsushita, Seiichi (JPN)",22133,45-49,01:20:10,02:41:57
648,649,601,"Zeman, Paul (USA)",8009,30-34,01:20:26,02:41:57
649,650,602,"Honda, Atsuo (JPN)",25261,45-49,01:21:53,02:41:59
650,651,603,"AlTamimi, Abdulaziz (QAT)",1074,35-39,01:19:23,02:41:59
651,652,604,"Roberts, Tristan (GBR)",6050,35-39,01:20:26,02:42:01
652,653,605,"Smith, Colin (USA)",19058,35-39,01:21:00,02:42:01
653,654,606,"Davidson, Cody (USA)",9112,30-34,01:22:42,02:42:03
654,655,607,"Meegan, Jack (IRL)",6022,25-29,01:19:45,02:42:04
655,656,608,"Alvarez, Erik (USA)",9024,30-34,01:21:18,02:42:05
656,657,609,"McDuffie, Dennis (USA)",18138,25-29,01:23:06,02:42:06
657,658,610,"Buitrago, Yamid (COL)",4482,35-39,01:22:59,02:42:11
658,659,611,"Phairoh, Bunphot (THA)",25450,55-59,01:20:20,02:42:11
659,660,612,"Difani, Jason (USA)",9084,40-44,01:20:35,02:42:12
660,661,613,"Knapper, Erwin (NED)",4133,35-39,01:19:38,02:42:12
661,662,614,"Caseiro, Matheus (BRA)",2034,30-34,01:21:30,02:42:14
662,663,615,"North, Ricky (USA)",19114,30-34,01:20:29,02:42:14
663,664,616,"Seck, Jeremie (FRA)",3039,40-44,01:19:56,02:42:14
664,665,617,"Naylor, Richard (GBR)",6045,50-54,01:20:33,02:42:14
665,666,618,"Petersen, Kellen (USA)",18060,20-24,01:21:16,02:42:15
666,667,619,"Delaunay, Pierre-Yves (USA)",18177,40-44,01:20:52,02:42:16
667,668,620,"De Antonio Cot, Gerard (ESP)",5018,30-34,01:15:39,02:42:17
668,669,621,"Alshaikh, Abdulla (BRN)",1171,35-39,01:18:57,02:42:17
669,670,622,"Russell, Michael (USA)",18140,30-34,01:21:22,02:42:19
670,671,623,"Brennan, Niall (IRL)",9087,40-44,01:19:50,02:42:19
671,672,624,"Wallace, Stephen (USA)",18062,35-39,01:19:43,02:42:20
672,673,625,"Winsor, Samuel (USA)",1103,30-34,01:21:23,02:42:21
673,674,626,"Saito, Hitoshi (JPN)",25293,50-54,01:19:54,02:42:21
674,675,627,"Spallanzani, Carlos (ARG)",25317,45-49,01:21:06,02:42:22
675,676,628,"Seminario, Julio (PER)",4163,35-39,01:18:22,02:42:24
676,677,629,"Richards, Douglas (USA)",8179,35-39,01:22:47,02:42:24
677,678,46,"Hawkins, Julia (CAN)",2146,30-34,01:20:55,02:42:24
678,679,630,"Wick, Alec (USA)",8117,25-29,01:23:00,02:42:26
679,680,631,"Musco, Brett (USA)",19010,30-34,01:19:24,02:42:26
680,681,632,"Evangelista, Derik (BRA)",5168,30-34,01:20:51,02:42:27
681,682,633,"Swift, Robert (GBR)",5200,20-24,01:18:09,02:42:27
682,683,634,"Beblo, Patryk (POL)",22188,30-34,01:20:56,02:42:27
683,684,635,"Huberty, Bryan (USA)",22075,40-44,01:18:38,02:42:30
684,685,636,"Hamer, Mitchael (CAN)",2145,30-34,01:20:55,02:42:31
685,686,637,"Stead, Josh (USA)",6094,25-29,01:19:02,02:42:32
686,687,47,"Fluehr, Erika (USA)",526,30-34,01:17:42,02:42:33
687,688,638,"Stachowiak, Maciej (POL)",8284,40-44,01:21:58,02:42:33
688,689,639,"Jordan, Ricky (GBR)",6020,35-39,01:19:44,02:42:33
689,690,640,"Watling, Robbie (USA)",8193,25-29,01:18:14,02:42:36
690,691,641,"Waltrip, Royce (USA)",20059,30-34,01:19:13,02:42:36
691,692,642,"Davis, Michael (USA)",492,35-39,01:20:57,02:42:36
692,693,643,"Luo, Shangyuan (CHN)",22140,45-49,01:20:40,02:42:36
